order_line_id,order_id,order_date,customer_id,product_id,quantity,order_status
OL00001,O0001,2026-04-20,C038,P005,1,Completed
OL00002,O0002,2026-01-13,C008,P014,4,Completed
OL00003,O0003,2026-04-08,C039,P009,1,Pending
OL00004,O0003,2026-04-08,C039,P018,3,Pending
OL00005,O0003,2026-04-08,C039,P001,3,Pending
OL00006,O0004,2026-01-29,C019,P001,2,Completed
OL00007,O0004,2026-01-29,C019,P009,1,Completed
OL00008,O0005,2026-06-10,C020,P020,2,Cancelled
OL00009,O0005,2026-06-10,C020,P007,1,Cancelled
OL00010,O0005,2026-06-10,C020,P005,4,Cancelled
OL00011,O0006,2026-01-05,C008,P008,1,Returned
OL00012,O0006,2026-01-05,C008,P002,4,Returned 
OL00013,O0007,2026-01-18,C049,P005,0,Completed
OL00014,O0008,2026-03-09,C034,P007,2,Cancelled
OL00015,O0008,2026-03-09,C034,P018,4,Cancelled
OL00016,O0009,2026-06-21,C042,P015,3,Completed
OL00017,O0009,2026-06-21,C042,P004,2,completed
OL00018,O0009,2026-06-21,C042,P008,1,Completed
OL00019,O0010,2026-01-19,C046,P003,3,Completed
OL00020,O0011,2026-01-19,C033,P007,4,Completed
OL00021,O0011,2026-01-19,C033,P018,4,Completed
OL00022,O0012,2026-04-15,C013,P012,1,Completed
OL00023,O0012,2026-04-15,C013,P014,1,Completed
OL00024,O0013,2026-01-16,C026,P008,4,Completed
OL00025,O0014,2026-02-05,C028,P008,1,Completed
OL00026,O0014,2026-02-05,C028,P003,1,COMPLETED
OL00027,O0015,2026-01-24,C049,P014,2,Cancelled
OL00028,O0016,2026-04-13,C004,P013,4,Completed
OL00029,O0017,2026-03-15,C028,P016,1,Completed
OL00030,O0017,2026-03-15,C028,P005,1,Completed
OL00031,O0017,2026-03-15,C028,P007,1,Completed
OL00032,O0018,2026-01-13,C038,P006,2,Completed 
OL00033,O0018,2026-01-13,C038,P002,1,COMPLETED
OL00034,O0018,2026-01-13,C038,P017,2,Completed
OL00035,O0019,2026-04-14,C008,P008,4,Returned
OL00036,O0019,2026-04-14,C008,P019,3,Returned
OL00037,O0019,2026-04-14,C008,P002,2,Returned
OL00038,O0020,2026-06-21,C046,P013,3,Completed
OL00039,O0020,2026-06-21,C046,P005,1,Completed
OL00040,O0021,2026-01-03,C030,P004,3,Completed
OL00041,O0021,2026-01-03,C030,P003,3,Completed
OL00042,O0021,2026-01-03,C030,P018,2,Completed
OL00043,O0022,2026-04-05,C019,P010,3,Completed
OL00044,O0022,2026-04-05,C019,P017,1,Completed
OL00045,O0022,2026-04-05,C019,P001,2,Completed
OL00046,O0023,2026-03-09,C008,P005,3,Cancelled
OL00047,O0023,2026-03-09,C008,P009,3,Cancelled
OL00048,O0023,2026-03-09,C008,P010,-1,Cancelled
OL00049,O0024,2026-01-14,C006,P002,2,Completed
OL00050,O0024,2026-01-14,C006,P001,3,Completed
OL00051,O0025,2026-02-11,C048,P018,2,Completed
OL00052,O0025,2026-02-11,C048,P001,3,Completed
OL00053,O0026,2026-05-30,C036,P002,1,Completed
OL00054,O0027,2026-04-02,C014,P012,4,Completed
OL00055,O0028,2026-06-08,C048,P006,2,Completed
OL00056,O0029,2026-04-16,C002,P014,1,Completed
OL00057,O0029,2026-04-16,C002,P008,1,Completed
OL00058,O0030,2026-05-01,C015,P012,2,Completed
OL00059,O0030,2026-05-01,C015,P010,2,Completed
OL00060,O0031,2026-04-13,C022,P009,4,Completed
OL00061,O0032,2026-06-23,C035,P004,3,Completed
OL00062,O0033,2026-02-15,C038,P002,3,Pending
OL00063,O0033,2026-02-15,C038,P004,3,Pending
OL00064,O0034,2026-04-22,C039,P013,2,Pending
OL00065,O0035,2026-03-07,C003,P017,2,Completed
OL00066,O0036,2026-04-04,C028,P020,1,Completed
OL00067,O0036,2026-04-04,C028,P011,3,Completed
OL00068,O0037,2026-05-10,C020,P013,2,Completed
OL00069,O0037,2026-05-10,C020,P010,4,Completed
OL00070,O0038,2026-06-23,C048,P019,1,Returned
OL00071,O0038,2026-06-23,C048,P010,2,Returned
OL00072,O0038,2026-06-23,C048,P013,3,Returned
OL00073,O0039,2026-04-30,C029,P017,2,Completed
OL00074,O0040,2026-06-18,C006,P011,2,Completed
OL00075,O0040,2026-06-18,C006,P003,2,Completed
OL00076,O0040,2026-06-18,C006,P008,2,completed
OL00077,O0041,2026-05-02,C040,P015,2,Cancelled
OL00078,O0042,2026-06-28,C025,P005,1,Completed
OL00079,O0043,2026-01-28,C050,P017,2,Completed
OL00080,O0044,2026-02-01,C030,P017,4,Completed
OL00081,O0044,2026-02-01,C030,P018,4,Completed
